Unnamed: 0,Well_ID,AL_Key,Artificial_Lift_Type,AL_Bottom_Depth,ESP_Pump_Stages,DLS_Critical,ESP_Motor_Frequency_Rating,ESP_Motor_Current_Rating,ESP_Motor_Voltage_Rating,ESP_Motor_Power_Rating,DLS_at_Set_Depth
0,345,ESP_2,ESP,9056.67,0,5.323173988,,,,,1.713553803
1,29,ESP_3,ESP,8982.09,0,6.440650373,,,,,2.789395319
2,327,ESP_1,ESP,8876.37,0,5.669750917,,,,,0.481679692
3,71,ESP_1,ESP,8930.11,0,5.6147984,,,,,0.842037516
4,125,ESP_2,ESP,8616.41,348,26.06174992,,,,,
5,165,ESP_1,ESP,8894.94,267,16.32403467,,67.1,2626.0,270.0,
6,165,ESP_2,ESP,8814.55,351,23.47261871,,67.1,2626.0,270.0,
7,138,ESP_1,ESP,8708.7,267,16.9033827,,67.1,2626.0,270.0,
8,138,ESP_2,ESP,8718.55,287,23.57104022,,67.1,2626.0,270.0,
9,260,ESP_1,ESP,8711.08,267,16.8695029,,67.1,2626.0,270.0,
10,260,ESP_3,ESP,8703.25,488,20.9520373,,67.1,2626.0,270.0,
11,47,ESP_1,ESP,7913.47,356,7.168520373,,,,,
12,85,ESP_1,ESP,7847.46,356,7.145482632,,,,,
13,85,ESP_2,ESP,7583.02,317,36.11367356,,52.0,1508.0,442.0,
14,246,ESP_1,ESP,7539.68,356,19.47434354,,75.5,1393.0,161.0,
15,118,ESP_1,ESP,7278.35,267,5.495774551,,,,,0.377821509
16,126,ESP_1,ESP,7612.42,0,6.64406864,,,,,
17,0,ESP_1,ESP,7649.74,445,12.75995944,,,,,
18,49,ESP_1,ESP,7805.65,0,17.36877309,,,,,
19,111,ESP_1,ESP,7751.26,0,17.38598801,,,,,
20,21,ESP_1,ESP,7713.61,0,19.70397308,,,,,0.214318149
21,16,ESP_1,ESP,7615.5,0,19.69456194,,,,,
22,20,ESP_1,ESP,7642.66,0,24.14407968,,,,,0.191647584
23,76,ESP_1,ESP,7683.3,0,24.14407968,,,,,
24,77,ESP_1,ESP,7472.81,0,24.60263741,,,,,1.070098748
25,60,ESP_1,ESP,7205.7,400,13.35810075,,75.0,1393.0,161.0,8.982288186
26,354,ESP_1,ESP,7376.19,400,13.34188621,,,,,143.251918
27,13,ESP_1,ESP,7568.34,0,19.40592575,,,,,0.315950746
28,10,ESP_1,ESP,7642.83,418,25.63827614,,91.0,1222.0,167.0,0.204114141
29,10,ESP_2,ESP,7605.56,418,19.09858875,,91.0,1222.0,167.0,0.228378785
30,59,ESP_1,ESP,7798.64,445,19.07413474,,90.5,1222.0,167.0,0.152061669
31,107,ESP_1,ESP,7837.15,415,15.96573378,,73.0,1680.0,191.0,
32,107,ESP_2,ESP,7779.21,415,19.14153448,,91.0,1222.0,167.0,
33,352,ESP_1,ESP,7877.84,415,15.96078185,,,,,
34,352,ESP_2,ESP,7874.24,410,16.0411464,,73.0,1680.0,191.0,
35,27,ESP_1,ESP,7988.34,410,15.91264745,,73.0,1680.0,191.0,0.615534439
36,54,ESP_2,ESP,7559.66,500,21.02596823,,73.0,1835.0,208.0,
37,346,ESP_1,ESP,7466.17,0,25.24897737,,,,,
38,259,ESP_3,ESP,8547.96,334,7.241439951,,,,,1.693268589
39,351,ESP_4,ESP,7355.29,300,26.92615602,,75.0,1156.0,134.0,
40,69,ESP_2,ESP,8811.19,0,7.362130105,,,,,
41,105,ESP_2,ESP,8724.94,0,7.069189105,,,,,0.666215653
42,30,ESP_2,ESP,8568.31,0,7.262718843,,,,,0.327978133
43,257,ESP_2,ESP,8189.83,420,,,76.0,1186.0,110.0,
44,53,ESP_2,ESP,8729.19,0,4.879670619,,,,,1.197792419
45,147,ESP_2,ESP,8666.85,0,6.775168727,,,,,
46,63,ESP_2,ESP,7967.4,445,17.52988911,,75.0,1393.0,161.0,0.372330009
47,52,ESP_2,ESP,8657.97,0,6.508039438,,,,,0.263426265
48,84,ESP_1,ESP,8180.27,415,24.62579861,,73.0,1680.0,191.0,
49,12,ESP_1,ESP,8112.63,415,24.37859866,,73.0,1680.0,191.0,0.457581601
50,128,ESP_1,ESP,8389.07,445,18.3685567,60.0,91.0,1222.0,167.0,
51,113,ESP_1,ESP,8367.75,445,17.50002911,60.0,75.0,1393.0,161.0,0.179821107
